ID_INDIVIDU,CODE_MAGASIN,PAYS,ETAT,TAILLE,TAILLE_SG,TAILLE_BONNET
1476,782,FR,M,38,90,B
1477,920,FR,E,38,95,C
1479,920,FR,E,44,95,B
1480,920,FR,E,38,85,A
1489,942,FR,S,,,
1498,942,FR,E,38,85,C
1500,942,FR,E,38,85,B
1501,942,FR,E,38,85,B
1511,942,FR,E,42,90,B
1520,942,FR,E,40,90,B
1522,942,FR,E,42,95,B
1523,942,FR,E,42,90,B
1524,942,FR,E,42,95,C
1525,942,FR,E,,,
1528,942,FR,E,40,85,B
1534,942,FR,N,40,90,B
1564,942,FR,E,44,95,C
1567,942,FR,E,40,90,C
1570,942,FR,E,40,85,B
1573,942,FR,E,40,85,D
1574,942,FR,E,38,85,A
1576,942,FR,N,36,85,B
1578,942,FR,E,38,,
1579,942,FR,M,42,90,D
1587,942,FR,E,38,85,A
1593,942,FR,E,36,85,B
1596,942,FR,E,38,85,B
1604,942,FR,E,,,
1607,942,FR,E,38,80,B
1611,942,FR,N,44,95,B
1624,942,FR,E,,,
1634,942,FR,E,42,90,B
1637,942,FR,E,40,85,B
1641,942,FR,E,42,90,B
1643,942,FR,E,42,95,D
1645,942,FR,E,38,90,B
1648,942,FR,E,44,95,C
1652,942,FR,E,,,
1658,930,FR,N,,,
1660,942,FR,E,40,90,C
1679,942,FR,E,42,90,C
1681,942,FR,E,38,85,B
1688,942,FR,E,38,90,C
1706,942,FR,E,40,,
1722,942,FR,E,40,90,B
1729,942,FR,E,46,95,E
1741,942,FR,E,40,85,B
1753,771,FR,C,,,
1755,942,FR,E,,,
1760,942,FR,E,40,90,B
1761,942,FR,E,36,90,B
1763,942,FR,E,38,90,B
1764,942,FR,E,,,
1771,942,FR,N,44,95,C
1780,942,FR,E,36,90,C
1781,942,FR,E,36,85,B
1783,942,FR,E,40,90,B
1796,942,FR,E,40,90,B
1806,942,FR,E,,,
1811,942,FR,N,42,90,C
1818,942,FR,E,,,
1820,942,FR,E,36,80,B
1836,942,FR,E,40,85,B
1840,942,FR,E,40,90,B
1845,942,FR,E,,85,B
1854,942,FR,N,40,85,A
1859,942,FR,N,40,90,B
1860,942,FR,E,40,,
1861,942,FR,N,40,85,A
1866,942,FR,E,38,90,C
1875,942,FR,E,42,85,C
1876,942,FR,E,40,85,B
1882,942,FR,E,40,85,C
1890,942,FR,E,38,90,B
1897,942,FR,E,42,90,B
1902,942,FR,E,42,90,C
1905,942,FR,E,,,
1913,942,FR,E,42,90,B
1915,942,FR,N,,,
1924,942,FR,E,38,85,B
1943,381,FR,N,,,
1949,942,,N,40,90,A
1959,942,FR,E,38,85,B
1963,942,FR,E,44,90,B
1965,942,FR,E,38,85,B
1967,942,FR,E,40,90,D
1970,942,FR,E,38,80,A
1985,942,FR,E,,,
1986,942,FR,E,,,
1989,942,FR,E,42,95,D
2004,942,FR,E,,,
2014,942,FR,E,40,85,D
2021,942,FR,E,,,
2022,942,FR,E,,,
2024,942,FR,E,,,
2027,942,FR,E,38,85,D
2028,942,FR,E,,,
2032,942,FR,N,,,
2040,942,FR,E,36,85,A
2043,942,FR,E,,,
2044,942,FR,E,42,90,C
2046,942,FR,E,44,95,A
2050,942,FR,E,40,80,B
2056,942,FR,E,,,
2059,942,FR,E,,85,B
2061,942,FR,E,40,85,B
2062,942,FR,E,40,90,B
2074,942,FR,N,,,
2076,942,FR,E,40,90,B
2088,942,FR,E,36,85,C
2093,942,FR,E,,,
2096,942,FR,M,38,85,B
2110,470,FR,M,40,90,b
2111,942,,N,40,85,D
2112,942,FR,E,44,90,C
2130,942,FR,N,36,85,B
2142,942,FR,M,38,85,D
2145,942,FR,E,42,95,B
2146,942,FR,E,44,95,C
2152,942,FR,E,42,90,B
2153,942,FR,E,40,90,B
2158,942,FR,E,36,85,B
2166,942,FR,E,,,
2170,942,FR,E,38,95,B
2175,942,FR,N,42,90,A
2183,942,FR,E,38,85,B
2189,942,FR,E,38,85,C
2207,770,FR,N,40,90,B
2210,942,FR,E,,,
2211,942,FR,E,40,90,C
2212,942,FR,N,40,95,B
2221,942,FR,E,40,90,B
2236,942,FR,E,,90,B
2258,942,FR,E,,,
2269,942,FR,N,,,
2274,942,FR,N,42,90,B
2291,942,FR,E,44,90,D
2293,942,FR,E,38,85,B
2309,942,FR,E,40,90,B
2327,942,FR,E,38,85,B
2328,942,FR,E,38,90,E
2330,942,FR,E,36,80,A
2335,942,FR,E,40,85,B
2341,942,FR,E,42,90,C
2357,942,FR,E,,,
2364,942,FR,E,36,80,B
2378,942,FR,E,38,80,B
2390,942,FR,N,42,95,C
2391,942,FR,E,42,90,B
2398,942,FR,E,40,95,C
2409,942,FR,E,36,85,B
2418,942,FR,E,,,
2419,942,,E,40,85,B
2424,942,FR,E,40,95,D
2426,942,FR,E,,,
2432,942,FR,E,,,
2441,942,FR,E,,,
2444,942,FR,E,38,85,B
2466,942,FR,E,,,
2496,942,FR,E,38,90,B
2497,942,FR,N,38,90,C
2504,942,FR,E,40,95,B
2509,942,FR,E,42,95,B
2519,942,FR,E,,,
2529,942,FR,E,38,85,B
2530,942,FR,E,38,85,B
2531,942,FR,E,42,,
2539,942,FR,E,,85,B
2541,942,FR,E,,,
2545,942,FR,E,,,
2555,942,FR,E,40,90,D
2571,942,FR,E,40,90,C
2575,942,FR,E,,,
2579,942,FR,E,40,85,B
2585,942,FR,E,40,90,D
2589,942,FR,E,40,85,C
2595,942,FR,E,40,95,D
2596,942,FR,N,40,90,C
2599,942,FR,E,40,90,B
2605,942,FR,E,40,85,B
